Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-05-11,The Secret World of Arrietty,2010,https://boxd.it/6rTFz3,3.5,,,2024-05-11
2024-05-14,When Marnie Was There,2014,https://boxd.it/6tc3KJ,4.5,,,2024-05-14
2024-05-16,Mortadelo & Filemon: Mission Implausible,2014,https://boxd.it/6u4uaB,4.5,,,2024-05-16
2024-05-17,The Tale of The Princess Kaguya,2013,https://boxd.it/6ufL6D,1.5,,,2024-05-17
2024-05-19,Grave of the Fireflies,1988,https://boxd.it/6uZv2d,4,,,2024-05-19
2024-05-22,The Cat Returns,2002,https://boxd.it/6wdSyt,3,,,2024-05-21
2024-05-23,From Up on Poppy Hill,2011,https://boxd.it/6wFCOh,4,,,2024-05-23
2024-05-27,Good Will Hunting,1997,https://boxd.it/6y90sL,4,,,2024-05-26
2024-05-28,Ocean Waves,1993,https://boxd.it/6yLOFL,3.5,,,2024-05-27
2024-05-29,Your Name.,2016,https://boxd.it/6zhPTX,4.5,,,2024-05-29
2024-06-04,Memories of Murder,2003,https://boxd.it/6BID7T,3,,,2024-06-03
2024-06-06,Get Out,2017,https://boxd.it/6CwbLL,4.5,,,2024-06-06
2024-06-10,Wolf Children,2012,https://boxd.it/6E0yd7,4,,,2024-06-09
2024-06-12,Weathering with You,2019,https://boxd.it/6EX4s5,3,,,2024-06-12
2024-06-15,Tales from Earthsea,2006,https://boxd.it/6FSg0L,1.5,,,2024-06-14
2024-06-18,The Hateful Eight,2015,https://boxd.it/6HcZed,4.5,,,2024-06-17
2024-06-22,Reservoir Dogs,1992,https://boxd.it/6IKoyR,4,Yes,,2024-06-22
2024-06-24,Earwig and the Witch,2020,https://boxd.it/6JzLD3,0.5,,,2024-06-23
2024-06-25,Pom Poko,1994,https://boxd.it/6K04Eh,3.5,,,2024-06-24
2024-06-26,Athena,2022,https://boxd.it/6KkTr9,3.5,,,2024-06-25
2024-06-30,Belle,2021,https://boxd.it/6LW8Wf,4.5,,,2024-06-30
2024-07-04,Schindler's List,1993,https://boxd.it/6Nye4D,4.5,,,2024-07-03
2024-07-16,The Boy and the Heron,2023,https://boxd.it/6T35OJ,3.5,,,2024-07-16
2024-07-18,Rocky,1976,https://boxd.it/6TVlrz,4,,,2024-07-18
2024-07-26,The World is Ours,2012,https://boxd.it/6Xz1w7,4,,,2024-07-26
2024-08-14,Men in Black,1997,https://boxd.it/75Jwf9,3,,,2024-08-13
2024-08-14,Forrest Gump,1994,https://boxd.it/75Vkj3,5,,,2024-08-14
2024-08-18,The Game,1997,https://boxd.it/77GrMz,3.5,,,2024-08-17
2024-08-21,Neon Genesis Evangelion,1995,https://boxd.it/798dZp,4.5,,,2024-08-20
2024-08-21,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/79cm4b,5,,,2024-08-20
2024-08-22,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/79xgdt,5,Yes,,2024-08-21
2024-08-23,Evangelion: 1.0 You Are (Not) Alone,2007,https://boxd.it/79YbSb,2.5,,,2024-08-22
2024-08-27,Evangelion: 3.0 You Can (Not) Redo,2012,https://boxd.it/7bTTdT,2.5,,,2024-08-26
2024-08-27,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/7bYIvH,4,,,2024-08-26
2024-09-01,About Time,2013,https://boxd.it/7edBHJ,4.5,,,2024-09-01
2024-09-22,(500) Days of Summer,2009,https://boxd.it/7nAmP1,4.5,,,2024-09-21
2024-09-23,Paprika,2006,https://boxd.it/7oagv7,4,,,2024-09-23
2024-10-20,Ford v Ferrari,2019,https://boxd.it/7AVP19,4,,,2024-10-20
2024-10-23,The Social Network,2010,https://boxd.it/7CyFlF,3.5,,,2024-10-23
2024-10-25,The Usual Suspects,1995,https://boxd.it/7DmNIH,4,,,2024-10-24
2024-10-27,Exodus,1960,https://boxd.it/7EwYS3,2,,,2024-10-27
2024-11-03,Us and Them,2018,https://boxd.it/7ImfEr,5,,,2024-11-03
2024-11-09,Look Back,2024,https://boxd.it/7LcPzT,4,,,2024-11-09
2024-11-28,A Silent Voice: The Movie,2016,https://boxd.it/7USKtB,4.5,,,2024-11-28
2024-12-04,Look Back,2024,https://boxd.it/7XZNrT,4,Yes,,2024-12-04
2024-12-23,The Girl Who Leapt Through Time,2006,https://boxd.it/880zQn,4,,,2024-12-22
2024-12-27,Cowboy Bebop: The Movie,2001,https://boxd.it/8b0tPZ,4,,,2024-12-26
2024-12-28,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/8c1HPl,4.5,,,2024-12-27
2024-12-30,Summer Wars,2009,https://boxd.it/8dJ0rR,3.5,,,2024-12-29
2024-12-31,RRR,2022,https://boxd.it/8eTQud,4.5,,,2024-12-31
2025-01-04,Liz and the Blue Bird,2018,https://boxd.it/8ihmXp,1.5,,,2025-01-03
2025-01-07,Saltburn,2023,https://boxd.it/8lWb1t,3.5,,,2025-01-06
2025-01-21,End of Watch,2012,https://boxd.it/8ytXBD,3.5,,,2025-01-20
2025-01-22,Zoolander,2001,https://boxd.it/8zcTLf,4.5,,,2025-01-21
2025-01-28,Phone Booth,2002,https://boxd.it/8DV90D,3,,,2025-01-27
2025-02-01,Serial Experiments Lain,1998,https://boxd.it/8GAnMV,2.5,,,2025-01-31
2025-02-03,I Saw the TV Glow,2024,https://boxd.it/8I7ykt,2.5,,,2025-02-02
2025-02-22,Scott Pilgrim vs. the World,2010,https://boxd.it/8UynF3,4.5,,,2025-02-21
2025-02-23,Tokyo Godfathers,2003,https://boxd.it/8VdNdV,4.5,,,2025-02-22
2025-03-08,Fury,2014,https://boxd.it/93tmp5,1.5,,,2025-03-07
2025-03-15,The Machinist,2004,https://boxd.it/97PoiZ,2.5,,,2025-03-14
2025-03-24,Beautiful Boy,2018,https://boxd.it/9dmPw1,4,,,2025-03-23
2025-04-17,JoJo's Bizarre Adventure: Stone Ocean,2021,https://boxd.it/9qEQHH,4.5,,,2025-04-17
2025-04-24,Sonny Boy,2021,https://boxd.it/9vbNIJ,4,,,2025-04-23
2025-04-28,Sonny Boy,2021,https://boxd.it/9xwraP,4.5,Yes,,2025-04-27
2025-04-30,"Good Morning, Vietnam",1987,https://boxd.it/9yD1Wh,4,,,2025-04-29
2025-05-20,The Colors Within,2024,https://boxd.it/9Ke4h5,1,,,2025-05-19
2025-05-26,Inside Man,2006,https://boxd.it/9NUhm9,3.5,,,2025-05-25
2025-05-27,Punk Love,2006,https://boxd.it/9OBcYt,3.5,,,2025-05-26
2025-05-31,Fallen Angels,1995,https://boxd.it/9R01Z9,4.5,,,2025-05-30
2025-06-03,Malcolm X,1992,https://boxd.it/9SZCJt,4.5,,,2025-06-02
2025-06-10,Manchester by the Sea,2016,https://boxd.it/9XBzPP,4.5,,,2025-06-10
2025-06-11,The Zone of Interest,2023,https://boxd.it/9XMfGb,1.5,,,2025-06-10
2025-06-14,The Man from Earth,2007,https://boxd.it/9Zt2hR,4.5,,,2025-06-13
2025-06-20,Project X,2012,https://boxd.it/a3nGcV,4,,,2025-06-19
2025-06-23,Elephant,2003,https://boxd.it/a5AXp7,0.5,,,2025-06-22
2025-06-28,The Devil's Advocate,1997,https://boxd.it/a8AanN,3.5,,,2025-06-27
2025-07-18,Snatch,2000,https://boxd.it/an0xuZ,3.5,,,2025-07-17
2025-07-18,El Bola,2000,https://boxd.it/anbsP1,4.5,,,2025-07-17
2025-07-22,The Perks of Being a Wallflower,2012,https://boxd.it/aqs2Vt,4.5,,,2025-07-21
2025-07-25,The Pursuit of Happyness,2006,https://boxd.it/at7rcN,3.5,,,2025-07-25
2025-08-03,Escape Plan,2013,https://boxd.it/azUaVD,3.5,,,2025-08-02
2025-08-05,Takopi's Original Sin,2025,https://boxd.it/aBMa97,3.5,,,2025-08-04
2025-08-11,All About Lily Chou-Chou,2001,https://boxd.it/aGzqjh,4.5,,,2025-08-10
2025-08-14,Warfare,2025,https://boxd.it/aIOGtP,3.5,,,2025-08-13
2025-08-18,Thief,1981,https://boxd.it/aLPfId,3.5,,,2025-08-17
2025-08-20,Raging Bull,1980,https://boxd.it/aNeKId,3.5,,,2025-08-19
2025-08-22,Falling Down,1993,https://boxd.it/aOu69X,1,,,2025-08-21
2025-08-29,Dead Poets Society,1989,https://boxd.it/aTwU19,3,,,2025-08-28
2025-09-02,Eyes Wide Shut,1999,https://boxd.it/aWtR0X,4,,,2025-09-01
2025-09-14,Trainspotting,1996,https://boxd.it/b3SjFF,4.5,,,2025-09-13
2025-09-15,Stand by Me,1986,https://boxd.it/b4FEEr,3,,,2025-09-14
2025-09-18,Green Book,2018,https://boxd.it/b6b7nv,4.5,,,2025-09-17
2025-09-19,Watching the Detectives,2007,https://boxd.it/b6G5wR,3.5,,,2025-09-18
2025-09-20,Trainspotting,1996,https://boxd.it/b79ATF,5,Yes,,2025-09-19
2025-09-21,T2 Trainspotting,2017,https://boxd.it/b7LcuH,4.5,,,2025-09-20
2025-09-23,Thesis,1996,https://boxd.it/b9mVaF,4,,,2025-09-22
2025-09-25,Pride & Prejudice,2005,https://boxd.it/bath91,4,,,2025-09-24
2025-09-27,Ocean's Eleven,2001,https://boxd.it/bbm5vz,4,,,2025-09-26
2025-09-28,BlacKkKlansman,2018,https://boxd.it/bccRjv,3.5,,,2025-09-27
2025-09-29,10 Things I Hate About You,1999,https://boxd.it/bcXyKV,3.5,,,2025-09-28
2025-10-02,Akira,1988,https://boxd.it/beImYT,4.5,,,2025-10-01
2025-10-10,Before Sunrise,1995,https://boxd.it/bjIEUb,4,,,2025-10-09
2025-10-14,The Big Short,2015,https://boxd.it/bmybFX,4,,,2025-10-13
2025-10-19,Cure,1997,https://boxd.it/bpAQVj,4.5,,,2025-10-18
2025-10-20,Everything Everywhere All at Once,2022,https://boxd.it/bqslQF,5,,,2025-10-19
2025-10-21,"Night Is Short, Walk On Girl",2017,https://boxd.it/braetR,4.5,,,2025-10-20
2025-10-25,The Texas Chain Saw Massacre,1974,https://boxd.it/btz6v9,4,,,2025-10-24
2025-10-27,Okja,2017,https://boxd.it/bvhL4F,3.5,,,2025-10-26
2025-11-02,Kill Bill: Vol. 1,2003,https://boxd.it/bzoVKB,5,,,2025-11-01
2025-11-03,Kill Bill: Vol. 2,2004,https://boxd.it/bAjWHn,4,,,2025-11-02
2025-11-06,How to Make Millions Before Grandma Dies,2024,https://boxd.it/bCczSL,3.5,,,2025-11-05
2025-11-13,Jaws,1975,https://boxd.it/bH7tnd,4,,,2025-11-12
2025-11-15,Frankenstein,2025,https://boxd.it/bIjUWR,3,,,2025-11-14
2025-11-16,The Godfather Part II,1974,https://boxd.it/bITA3z,3.5,,,2025-11-15
2025-11-19,The Darjeeling Limited,2007,https://boxd.it/bLh6aB,4.5,,,2025-11-18
2025-11-20,Volver,2006,https://boxd.it/bLRWXx,4,,,2025-11-19
2025-11-24,Shaun of the Dead,2004,https://boxd.it/bOQ1Bp,3,,,2025-11-23
2025-11-28,Lessons of Darkness,1992,https://boxd.it/bRnReh,4,,,2025-11-27
2025-12-03,The Lost Chapter: Yuki's Revenge,2025,https://boxd.it/bUykrL,1,,,2025-12-02
2025-12-07,Mystic River,2003,https://boxd.it/bXpg9d,4,,,2025-12-06
2025-12-11,The Prestige,2006,https://boxd.it/c0gQwV,4.5,,,2025-12-10
2025-12-12,Blood Diamond,2006,https://boxd.it/c0TTbT,3,,,2025-12-11
2025-12-16,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/c4agB5,3.5,,,2025-12-15
2025-12-18,Wake Up Dead Man,2025,https://boxd.it/c5HM4d,4,,,2025-12-17
2025-12-22,Torrente: The Dumb Arm of the Law,1998,https://boxd.it/c9Be0Z,4.5,,,2025-12-21
2026-01-04,Rushmore,1998,https://boxd.it/cqqgcJ,4.5,,,2026-01-03
2026-01-16,The Endless Trench,2019,https://boxd.it/cEuv29,4.5,,,2026-01-15
2026-01-18,Chainsaw Man,2022,https://boxd.it/cGIhy7,3.5,,,2026-01-17
2026-01-19,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/cI9pg9,3.5,,,2026-01-18
2026-01-22,The Tatami Galaxy,2010,https://boxd.it/cL93T1,3.5,,,2026-01-21
2026-01-23,The Great Gatsby,2013,https://boxd.it/cM1wBN,3,,,2026-01-22
2026-01-24,The Whale,2022,https://boxd.it/cMDuLR,4.5,,,2026-01-23
2026-01-29,Tatsuki Fujimoto 17-26,2025,https://boxd.it/cSe1fV,3.5,,,2026-01-28
2026-02-04,100 METERS,2025,https://boxd.it/cYEBKB,4,,,2026-02-03
2026-02-05,Another Round,2020,https://boxd.it/cZxjm7,3,,,2026-02-04
2026-02-06,Torrente 2: Mission in Marbella,2001,https://boxd.it/d0mhyd,3,,,2026-02-05
2026-02-09,The Royal Tenenbaums,2001,https://boxd.it/d2OKbV,4,,,2026-02-08
2026-02-14,The First Slam Dunk,2022,https://boxd.it/d6OG8z,4.5,,,2026-02-13
2026-02-19,A Silent Voice: The Movie,2016,https://boxd.it/dc47ez,4.5,Yes,,2026-02-18
2026-02-23,Normal People,2020,https://boxd.it/dgkgv3,4,,,2026-02-22
2026-02-25,Torrente 3: The Protector,2005,https://boxd.it/dhXJav,3.5,,,2026-02-24
2026-02-26,Past Lives,2023,https://boxd.it/diXdRV,4,,,2026-02-25
2026-02-28,Hamnet,2025,https://boxd.it/dkkTcZ,3,,,2026-02-27
2026-03-04,Demolition,2015,https://boxd.it/dnU3Dt,4,,,2026-03-03
2026-03-05,The Hunt,2012,https://boxd.it/doBv3T,4,,,2026-03-04
2026-03-06,Hacksaw Ridge,2016,https://boxd.it/dpjHhh,1.5,,,2026-03-05
2026-03-09,EVANGELION 30th Anniversary Special Screening,2026,https://boxd.it/drUWhD,3,,,2026-03-08
2026-03-10,No Other Choice,2025,https://boxd.it/dsKhpl,4.5,,,2026-03-09
2026-03-13,Mind Game,2004,https://boxd.it/duO7cx,3.5,,,2026-03-12
2026-03-15,Torrente 4: Lethal crisis,2011,https://boxd.it/dws8Bn,2.5,,,2026-03-14
2026-03-18,Aftersun,2022,https://boxd.it/dzcLav,4.5,,,2026-03-17
2026-03-19,Mirai,2018,https://boxd.it/dzZyQL,3,,,2026-03-18
2026-03-20,Superman,2025,https://boxd.it/dAKC4P,4,,,2026-03-19
2026-03-22,Brokeback Mountain,2005,https://boxd.it/dCA9WV,4,,,2026-03-21
2026-03-24,Torrente 5: Operation Eurovegas,2014,https://boxd.it/dEElal,1,,,2026-03-23
2026-03-28,Torrente for President,2026,https://boxd.it/dHUgCX,2.5,,,2026-03-28
2026-03-29,F1,2025,https://boxd.it/dIzMw5,4.5,,,2026-03-28
2026-04-01,Back to the Future,1985,https://boxd.it/dLEkTn,3.5,,,2026-03-31
2026-04-02,FLCL,2000,https://boxd.it/dMu7K7,4,,,2026-04-01
2026-04-06,Perfect Days,2023,https://boxd.it/dQW6J5,4.5,,,2026-04-05
2026-04-07,Y Tu Mamá También,2001,https://boxd.it/dRZXsB,4.5,,,2026-04-06
2026-04-09,The Day of the Beast,1995,https://boxd.it/dU165r,4.5,,,2026-04-09
2026-04-13,Fargo,1996,https://boxd.it/dXc3dB,4,,,2026-04-12
2026-04-20,Forget Me Not,2015,https://boxd.it/e2Mcyl,4.5,,,2026-04-19
2026-04-21,Fear and Loathing in Las Vegas,1998,https://boxd.it/e3zK35,4.5,,,2026-04-20
2026-04-24,ERASED,2016,https://boxd.it/e5zE4J,3.5,,,2026-04-23
2026-04-25,Project Hail Mary,2026,https://boxd.it/e6rZnF,4.5,,,2026-04-24
2026-04-26,One Battle After Another,2025,https://boxd.it/e73C71,4,,,2026-04-25
2026-04-26,20th Century Girl,2022,https://boxd.it/e7hAJ1,2,,,2026-04-25
2026-04-28,Buried,2010,https://boxd.it/e94DVV,2.5,,,2026-04-27
2026-04-29,5 Centimeters per Second,2007,https://boxd.it/e9McUp,2,,,2026-04-28
2026-05-02,Serpico,1973,https://boxd.it/ebPCq5,3.5,,,2026-05-01
2026-05-02,Oldboy,2003,https://boxd.it/ectRkB,4.5,,,2026-05-02
2026-05-03,Full Metal Jacket,1987,https://boxd.it/ecXBPX,3,,,2026-05-02
2026-05-07,The Time That Remains,2009,https://boxd.it/egiFZ7,3.5,,,2026-05-06
2026-05-08,Ritual,2000,https://boxd.it/egZqdX,4.5,,,2026-05-07
2026-05-23,Sinners,2025,https://boxd.it/esZrix,3,,,2026-05-22
2026-05-24,Five Nights at Freddy's 2,2025,https://boxd.it/etvRHR,2.5,,,2026-05-23
2026-05-24,The Super Mario Galaxy Movie,2026,https://boxd.it/etNq9f,5,,,2026-05-23
2026-05-25,Marty Supreme,2025,https://boxd.it/euL9S3,4.5,,,2026-05-24
2026-05-29,Memoirs of a Geisha,2005,https://boxd.it/ey7xaF,3,,,2026-05-29
2026-06-01,Children of Men,2006,https://boxd.it/eAZ7D3,4.5,,,2026-05-31
2026-06-04,Mickey 17,2025,https://boxd.it/eDDrNZ,4.5,,,2026-06-03
2026-06-08,Rango,2011,https://boxd.it/eHiSqx,4,,,2026-06-07
2026-06-09,Barrio,1998,https://boxd.it/eIfQCz,4,,,2026-06-08
2026-06-15,Rafa,2026,https://boxd.it/eN42Gp,4,,,2026-06-14
2026-06-20,Jojo Rabbit,2019,https://boxd.it/eRljif,3.5,,,2026-06-19
2026-06-21,The Amazing Digital Circus: The Last Act,2026,https://boxd.it/eRSxuZ,3,,,2026-06-20
2026-06-28,Sicario,2015,https://boxd.it/eYa7s9,3,,,2026-06-27
2026-06-29,La absoluta,2022,https://boxd.it/eZnuu3,3.5,,,2026-06-28
2026-07-01,Juno,2007,https://boxd.it/f1cGFj,4,,,2026-06-30
2026-07-02,12 Angry Men,1957,https://boxd.it/f234vL,4.5,,,2026-07-01
2026-07-08,Léon: The Professional,1994,https://boxd.it/f7SaIj,4,,,2026-07-07
2026-07-10,mid90s,2018,https://boxd.it/f9GaFN,4,,,2026-07-09
2026-07-13,Koyaanisqatsi,1982,https://boxd.it/fctDdT,,,,2026-07-12
2026-07-13,The Phoenician Scheme,2025,https://boxd.it/fcS2Q5,4.5,,,2026-07-12
2026-07-15,Cool Hand Luke,1967,https://boxd.it/feLElj,4,,,2026-07-14
2026-07-17,High and Low,1963,https://boxd.it/fgAYkh,4,,,2026-07-16
2026-07-19,The Deer Hunter,1978,https://boxd.it/fjNM4z,3.5,,,2026-07-19
2026-07-21,Companion,2025,https://boxd.it/flcmiJ,4.5,,,2026-07-20
2026-07-23,Sing Street,2016,https://boxd.it/fnxpgB,3.5,,,2026-07-22
2026-07-27,Your Name.,2016,https://boxd.it/fsg6pl,4.5,Yes,,2026-07-26
2026-07-28,In Whose Name?,2025,https://boxd.it/ftAQif,3,,,2026-07-27
2026-08-04,The Odyssey,2026,https://boxd.it/fCS9Oz,4,,,2026-08-03
2026-08-05,Bullet Train,2022,https://boxd.it/fDNzLZ,3,,,2026-08-04
2026-08-05,Pearl,2022,https://boxd.it/fEpm8B,3.5,,,2026-08-05
2026-08-14,Bridge to Terabithia,2007,https://boxd.it/fOCk0r,2.5,,,2026-08-13
2026-08-17,Before Sunset,2004,https://boxd.it/fRKR3h,4,,,2026-08-16
2026-08-17,The Damned United,2009,https://boxd.it/fSIa6R,4,,,2026-08-17
2026-08-18,A Minecraft Movie,2025,https://boxd.it/fTaX3N,1.5,,,2026-08-17
2026-08-20,A Real Pain,2024,https://boxd.it/fVmOtz,3.5,,,2026-08-19
2026-08-23,Steins;Gate,2011,https://boxd.it/fY1QyV,3.5,,,2026-08-22
2026-08-23,Steins;Gate: The Movie - Load Region of Déjà Vu,2013,https://boxd.it/fZ1z1p,3.5,,,2026-08-23
